LCZ,1,2,3,4,5,6,7,8,9,10,A,B,C,D,E,F,G
1,1.00,0.92,0.83,0.67,0.58,0.50,0.58,0.75,0.42,0.75,0.33,0.25,0.08,0.00,0.25,0.00,0.00
2,0.92,1.00,0.92,0.58,0.67,0.58,0.67,0.83,0.42,0.83,0.42,0.33,0.25,0.08,0.33,0.08,0.08
3,0.83,0.92,1.00,0.50,0.58,0.67,0.75,0.92,0.58,0.92,0.50,0.42,0.33,0.17,0.42,0.17,0.17
4,0.67,0.58,0.50,1.00,0.92,0.83,0.75,0.50,0.75,0.58,0.50,0.58,0.50,0.33,0.08,0.33,0.33
5,0.58,0.67,0.58,0.92,1.00,0.92,0.83,0.67,0.83,0.67,0.58,0.67,0.50,0.42,0.17,0.42,0.42
6,0.50,0.58,0.67,0.83,0.92,1.00,0.92,0.75,0.92,0.75,0.67,0.75,0.67,0.58,0.25,0.50,0.50
7,0.58,0.67,0.75,0.75,0.83,0.92,1.00,0.67,0.83,0.67,0.75,0.67,0.58,0.42,0.17,0.42,0.42
8,0.75,0.83,0.92,0.50,0.67,0.75,0.67,1.00,0.75,0.92,0.42,0.50,0.42,0.25,0.50,0.33,0.33
9,0.42,0.42,0.58,0.75,0.83,0.92,0.83,0.75,1.00,0.67,0.58,0.67,0.75,0.58,0.33,0.58,0.58
10,0.75,0.83,0.92,0.58,0.67,0.75,0.67,0.92,0.67,1.00,0.42,0.50,0.42,0.25,0.50,0.33,0.33
A,0.33,0.42,0.50,0.50,0.58,0.67,0.75,0.42,0.58,0.42,1.00,0.92,0.83,0.67,0.42,0.67,0.67
B,0.25,0.33,0.42,0.58,0.67,0.75,0.67,0.50,0.67,0.50,0.92,1.00,0.92,0.75,0.50,0.75,0.75
C,0.08,0.25,0.33,0.50,0.50,0.67,0.58,0.42,0.75,0.42,0.83,0.92,1.00,0.83,0.58,0.83,0.83
D,0.00,0.08,0.17,0.33,0.42,0.58,0.42,0.25,0.58,0.25,0.67,0.75,0.83,1.00,0.75,0.92,0.92
E,0.25,0.33,0.42,0.08,0.17,0.25,0.17,0.50,0.33,0.50,0.42,0.50,0.58,0.75,1.00,0.75,0.75
F,0.00,0.08,0.17,0.33,0.42,0.50,0.42,0.33,0.58,0.33,0.67,0.75,0.83,0.92,0.75,1.00,0.92
G,0.00,0.08,0.17,0.33,0.42,0.50,0.42,0.33,0.58,0.33,0.67,0.75,0.83,0.92,0.75,0.92,1.00
