,1,2,3,6,8,9,A,B,D,E,F,G
1,0.75,0.05,0.0,0.0,0.175,0.025,0.0,0.0,0.0,0.0,0.0,0.0
2,0.17391304347826086,0.43478260869565216,0.0,0.043478260869565216,0.34782608695652173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.007936507936507936,0.007936507936507936,0.4246031746031746,0.44047619047619047,0.10714285714285714,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.003968253968253968
6,0.0,0.00041135335252982314,0.008638420403126285,0.928013163307281,0.026737967914438502,0.029206088029617442,0.0,0.0016454134101192926,0.0053475935828877,0.0,0.0,0.0
8,0.0,0.002072538860103627,0.014507772020725389,0.12435233160621761,0.7989637305699482,0.015544041450777202,0.0,0.010362694300518135,0.03005181347150259,0.002072538860103627,0.0010362694300518134,0.0010362694300518134
9,0.0,0.0019646365422396855,0.0,0.15717092337917485,0.03339882121807466,0.5029469548133595,0.007858546168958742,0.21218074656188604,0.08055009823182711,0.0,0.0019646365422396855,0.0019646365422396855
A,0.0,0.0,0.0,0.0,0.0,0.17777777777777778,0.5555555555555556,0.26666666666666666,0.0,0.0,0.0,0.0
B,0.0,0.0,0.0,0.010330578512396695,0.030991735537190084,0.1859504132231405,0.012396694214876033,0.53099173553719,0.22520661157024793,0.0,0.0,0.004132231404958678
D,0.0,0.0,0.0,0.01079136690647482,0.026079136690647483,0.0170863309352518,0.0,0.044064748201438846,0.8947841726618705,0.0008992805755395684,0.00539568345323741,0.0008992805755395684
E,0.0,0.0,0.0,0.047619047619047616,0.5476190476190477,0.023809523809523808,0.0,0.047619047619047616,0.23809523809523808,0.07142857142857142,0.0,0.023809523809523808
F,0.0,0.0,0.0,0.024390243902439025,0.12195121951219512,0.0,0.0,0.04878048780487805,0.1951219512195122,0.0,0.6097560975609756,0.0
G,0.009433962264150943,0.0,0.0,0.0,0.04716981132075472,0.009433962264150943,0.0,0.03773584905660377,0.0,0.009433962264150943,0.0,0.8867924528301887
